item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",Johor,0.4016096644512494,0.4016096644512494,0.5388159060803247,83.87096774193549,83.87096774193549,70.96774193548387,GMM,83.87096774193549
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",Kedah,0.4016096644512494,0.3110855084191276,0.3592106040535498,83.87096774193549,90.32258064516128,87.09677419354838,Isolation Forest,90.32258064516128
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",Kelantan,0.43994134506405985,0.254000254000381,0.5388159060803247,80.64516129032258,93.54838709677419,70.96774193548387,Isolation Forest,93.54838709677419
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",Melaka,0.254000254000381,0.254000254000381,0.4016096644512494,93.54838709677419,93.54838709677419,83.87096774193549,GMM,93.54838709677419
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",Negeri Sembilan,0.254000254000381,0.0,0.4016096644512494,93.54838709677419,100.0,83.87096774193549,Isolation Forest,100.0
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",Pahang,0.47519096331149147,0.4016096644512494,0.43994134506405985,77.41935483870968,83.87096774193549,80.64516129032258,Isolation Forest,83.87096774193549
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",Perak,0.1796053020267749,0.1796053020267749,0.5956833971812706,96.7741935483871,96.7741935483871,64.51612903225806,GMM,96.7741935483871
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",Perlis,0.43994134506405985,0.0,0.254000254000381,80.64516129032258,100.0,93.54838709677419,Isolation Forest,100.0
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",Pulau Pinang,0.43994134506405985,0.254000254000381,0.5956833971812706,80.64516129032258,93.54838709677419,64.51612903225806,Isolation Forest,93.54838709677419
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",Sabah,0.43994134506405985,0.0,0.1796053020267749,80.64516129032258,100.0,96.7741935483871,Isolation Forest,100.0
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",Sarawak,0.3592106040535498,0.3592106040535498,0.3110855084191276,87.09677419354838,87.09677419354838,90.32258064516128,Random Forest,90.32258064516128
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",Selangor,0.4016096644512494,0.1796053020267749,0.254000254000381,83.87096774193549,96.7741935483871,93.54838709677419,Isolation Forest,96.7741935483871
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",Terengganu,0.508000508000762,0.4016096644512494,0.672021505032247,74.19354838709677,83.87096774193549,54.83870967741935,Isolation Forest,83.87096774193549
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",W.P. Kuala Lumpur,0.3110855084191276,0.1796053020267749,0.5388159060803247,90.32258064516128,96.7741935483871,70.96774193548387,Isolation Forest,96.7741935483871
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",W.P. Labuan,0.47519096331149147,0.47519096331149147,0.6221710168382552,77.41935483870968,77.41935483870968,61.29032258064516,GMM,77.41935483870968
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",W.P. Putrajaya,0.1796053020267749,0.3110855084191276,0.5956833971812706,96.7741935483871,90.32258064516128,64.51612903225806,GMM,96.7741935483871
