item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
"F&N OREN (TIN),325 ml",Johor,0.24618298195866548,0.0,0.4264014327112209,93.93939393939394,100.0,81.81818181818183,Isolation Forest,100.0
"F&N OREN (TIN),325 ml",Kedah,0.30151134457776363,0.24618298195866548,0.49236596391733095,90.9090909090909,93.93939393939394,75.75757575757575,Isolation Forest,93.93939393939394
"F&N OREN (TIN),325 ml",Kelantan,0.24618298195866548,0.24618298195866548,0.24618298195866548,93.93939393939394,93.93939393939394,93.93939393939394,GMM,93.93939393939394
"F&N OREN (TIN),325 ml",Melaka,0.4264014327112209,0.3481553119113957,0.6276459144608478,81.81818181818183,87.87878787878788,60.60606060606061,Isolation Forest,87.87878787878788
"F&N OREN (TIN),325 ml",Negeri Sembilan,0.49236596391733095,0.0,0.5504818825631803,75.75757575757575,100.0,69.6969696969697,Isolation Forest,100.0
"F&N OREN (TIN),325 ml",Pahang,0.4605661864718383,0.4264014327112209,0.4605661864718383,78.78787878787878,81.81818181818183,78.78787878787878,Isolation Forest,81.81818181818183
"F&N OREN (TIN),325 ml",Perak,0.3892494720807615,0.4605661864718383,0.3481553119113957,84.84848484848484,78.78787878787878,87.87878787878788,Random Forest,87.87878787878788
"F&N OREN (TIN),325 ml",Perlis,0.4605661864718383,0.17407765595569785,0.0,78.78787878787878,96.96969696969697,100.0,Random Forest,100.0
"F&N OREN (TIN),325 ml",Pulau Pinang,0.24618298195866548,0.17407765595569785,0.5222329678670935,93.93939393939394,96.96969696969697,72.72727272727273,Isolation Forest,96.96969696969697
"F&N OREN (TIN),325 ml",Sabah,0.24618298195866548,0.3481553119113957,0.30151134457776363,93.93939393939394,87.87878787878788,90.9090909090909,GMM,93.93939393939394
"F&N OREN (TIN),325 ml",Sarawak,0.4264014327112209,0.17407765595569785,0.5222329678670935,81.81818181818183,96.96969696969697,72.72727272727273,Isolation Forest,96.96969696969697
"F&N OREN (TIN),325 ml",Selangor,0.3892494720807615,0.24618298195866548,0.5504818825631803,84.84848484848484,93.93939393939394,69.6969696969697,Isolation Forest,93.93939393939394
"F&N OREN (TIN),325 ml",Terengganu,0.4605661864718383,0.17407765595569785,0.0,78.78787878787878,96.96969696969697,100.0,Random Forest,100.0
"F&N OREN (TIN),325 ml",W.P. Kuala Lumpur,0.30151134457776363,0.17407765595569785,0.3892494720807615,90.9090909090909,96.96969696969697,84.84848484848484,Isolation Forest,96.96969696969697
"F&N OREN (TIN),325 ml",W.P. Labuan,0.5222329678670935,0.4605661864718383,0.49236596391733095,72.72727272727273,78.78787878787878,75.75757575757575,Isolation Forest,78.78787878787878
"F&N OREN (TIN),325 ml",W.P. Putrajaya,0.24618298195866548,0.3892494720807615,0.30151134457776363,93.93939393939394,84.84848484848484,90.9090909090909,GMM,93.93939393939394
