item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",Johor,0.47809144373375745,0.4140393356054125,0.560611910581388,77.14285714285715,82.85714285714286,68.57142857142857,Isolation Forest,82.85714285714286
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",Kedah,0.50709255283711,0.4472135954999579,0.6546536707079771,74.28571428571429,80.0,57.14285714285714,Isolation Forest,80.0
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",Kelantan,0.4140393356054125,0.3380617018914066,0.47809144373375745,82.85714285714286,88.57142857142857,77.14285714285715,Isolation Forest,88.57142857142857
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",Melaka,0.50709255283711,0.50709255283711,0.560611910581388,74.28571428571429,74.28571428571429,68.57142857142857,GMM,74.28571428571429
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",Negeri Sembilan,0.5345224838248488,0.5345224838248488,0.5855400437691199,71.42857142857143,71.42857142857143,65.71428571428571,GMM,71.42857142857143
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",Pahang,0.50709255283711,0.4472135954999579,0.609449400220044,74.28571428571429,80.0,62.857142857142854,Isolation Forest,80.0
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",Perak,0.5345224838248488,0.4140393356054125,0.5855400437691199,71.42857142857143,82.85714285714286,65.71428571428571,Isolation Forest,82.85714285714286
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",Perlis,0.3779644730092272,0.29277002188455997,0.4472135954999579,85.71428571428571,91.42857142857143,80.0,Isolation Forest,91.42857142857143
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",Pulau Pinang,0.47809144373375745,0.47809144373375745,0.6324555320336759,77.14285714285715,77.14285714285715,60.0,GMM,77.14285714285715
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",Sabah,0.29277002188455997,0.3779644730092272,0.4472135954999579,91.42857142857143,85.71428571428571,80.0,GMM,91.42857142857143
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",Sarawak,0.47809144373375745,0.23904572186687872,0.4140393356054125,77.14285714285715,94.28571428571428,82.85714285714286,Isolation Forest,94.28571428571428
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",Selangor,0.50709255283711,0.50709255283711,0.609449400220044,74.28571428571429,74.28571428571429,62.857142857142854,GMM,74.28571428571429
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",Terengganu,0.50709255283711,0.4472135954999579,0.6324555320336759,74.28571428571429,80.0,60.0,Isolation Forest,80.0
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",W.P. Kuala Lumpur,0.50709255283711,0.29277002188455997,0.609449400220044,74.28571428571429,91.42857142857143,62.857142857142854,Isolation Forest,91.42857142857143
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",W.P. Labuan,0.4140393356054125,0.4140393356054125,0.609449400220044,82.85714285714286,82.85714285714286,62.857142857142854,GMM,82.85714285714286
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",W.P. Putrajaya,0.4472135954999579,0.29277002188455997,0.50709255283711,80.0,91.42857142857143,74.28571428571429,Isolation Forest,91.42857142857143
