item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",Johor,0.4016096644512494,0.3110855084191276,0.5388159060803247,83.87096774193549,90.32258064516128,70.96774193548387,Isolation Forest,90.32258064516128
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",Kedah,0.3592106040535498,0.254000254000381,0.254000254000381,87.09677419354838,93.54838709677419,93.54838709677419,Isolation Forest,93.54838709677419
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",Kelantan,0.3110855084191276,0.3110855084191276,0.43994134506405985,90.32258064516128,90.32258064516128,80.64516129032258,GMM,90.32258064516128
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",Melaka,0.3592106040535498,0.43994134506405985,0.6221710168382552,87.09677419354838,80.64516129032258,61.29032258064516,GMM,87.09677419354838
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",Negeri Sembilan,0.3110855084191276,0.3110855084191276,0.47519096331149147,90.32258064516128,90.32258064516128,77.41935483870968,GMM,90.32258064516128
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",Pahang,0.3110855084191276,0.0,0.508000508000762,90.32258064516128,100.0,74.19354838709677,Isolation Forest,100.0
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",Perak,0.3110855084191276,0.0,0.43994134506405985,90.32258064516128,100.0,80.64516129032258,Isolation Forest,100.0
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",Perlis,0.43994134506405985,0.43994134506405985,0.5388159060803247,80.64516129032258,80.64516129032258,70.96774193548387,GMM,80.64516129032258
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",Pulau Pinang,0.1796053020267749,0.3592106040535498,0.43994134506405985,96.7741935483871,87.09677419354838,80.64516129032258,GMM,96.7741935483871
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",Sabah,0.3110855084191276,0.3110855084191276,0.5679618342470648,90.32258064516128,90.32258064516128,67.74193548387096,GMM,90.32258064516128
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",Sarawak,0.43994134506405985,0.3592106040535498,0.5679618342470648,80.64516129032258,87.09677419354838,67.74193548387096,Isolation Forest,87.09677419354838
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",Selangor,0.3110855084191276,0.3110855084191276,0.43994134506405985,90.32258064516128,90.32258064516128,80.64516129032258,GMM,90.32258064516128
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",Terengganu,0.3592106040535498,0.3592106040535498,0.47519096331149147,87.09677419354838,87.09677419354838,77.41935483870968,GMM,87.09677419354838
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",W.P. Kuala Lumpur,0.3110855084191276,0.1796053020267749,0.47519096331149147,90.32258064516128,96.7741935483871,77.41935483870968,Isolation Forest,96.7741935483871
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",W.P. Labuan,0.0,0.34641016151377546,0.4,100.0,88.0,84.0,GMM,100.0
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",W.P. Putrajaya,0.3110855084191276,0.254000254000381,0.4016096644512494,90.32258064516128,93.54838709677419,83.87096774193549,Isolation Forest,93.54838709677419
