item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
EPAL HIJAU GRANNY SMITH (SAIZ M),Johor,0.1690308509457033,0.1690308509457033,0.4140393356054125,97.14285714285714,97.14285714285714,82.85714285714286,GMM,97.14285714285714
EPAL HIJAU GRANNY SMITH (SAIZ M),Kedah,0.29277002188455997,0.29277002188455997,0.1690308509457033,91.42857142857143,91.42857142857143,97.14285714285714,Random Forest,97.14285714285714
EPAL HIJAU GRANNY SMITH (SAIZ M),Kelantan,0.0,0.0,0.5855400437691199,100.0,100.0,65.71428571428571,GMM,100.0
EPAL HIJAU GRANNY SMITH (SAIZ M),Melaka,0.23904572186687872,0.3779644730092272,0.4472135954999579,94.28571428571428,85.71428571428571,80.0,GMM,94.28571428571428
EPAL HIJAU GRANNY SMITH (SAIZ M),Negeri Sembilan,0.3779644730092272,0.3779644730092272,0.5855400437691199,85.71428571428571,85.71428571428571,65.71428571428571,GMM,85.71428571428571
EPAL HIJAU GRANNY SMITH (SAIZ M),Pahang,0.3380617018914066,0.3380617018914066,0.5345224838248488,88.57142857142857,88.57142857142857,71.42857142857143,GMM,88.57142857142857
EPAL HIJAU GRANNY SMITH (SAIZ M),Perak,0.23904572186687872,0.23904572186687872,0.560611910581388,94.28571428571428,94.28571428571428,68.57142857142857,GMM,94.28571428571428
EPAL HIJAU GRANNY SMITH (SAIZ M),Perlis,0.3779644730092272,0.3779644730092272,0.5345224838248488,85.71428571428571,85.71428571428571,71.42857142857143,GMM,85.71428571428571
EPAL HIJAU GRANNY SMITH (SAIZ M),Pulau Pinang,0.3380617018914066,0.3380617018914066,0.23904572186687872,88.57142857142857,88.57142857142857,94.28571428571428,Random Forest,94.28571428571428
EPAL HIJAU GRANNY SMITH (SAIZ M),Sabah,0.3380617018914066,0.23904572186687872,0.4140393356054125,88.57142857142857,94.28571428571428,82.85714285714286,Isolation Forest,94.28571428571428
EPAL HIJAU GRANNY SMITH (SAIZ M),Sarawak,0.3380617018914066,0.3380617018914066,0.1690308509457033,88.57142857142857,88.57142857142857,97.14285714285714,Random Forest,97.14285714285714
EPAL HIJAU GRANNY SMITH (SAIZ M),Selangor,0.1690308509457033,0.1690308509457033,0.0,97.14285714285714,97.14285714285714,100.0,Random Forest,100.0
EPAL HIJAU GRANNY SMITH (SAIZ M),Terengganu,0.29277002188455997,0.23904572186687872,0.4140393356054125,91.42857142857143,94.28571428571428,82.85714285714286,Isolation Forest,94.28571428571428
EPAL HIJAU GRANNY SMITH (SAIZ M),W.P. Kuala Lumpur,0.23904572186687872,0.29277002188455997,0.3380617018914066,94.28571428571428,91.42857142857143,88.57142857142857,GMM,94.28571428571428
EPAL HIJAU GRANNY SMITH (SAIZ M),W.P. Putrajaya,0.29277002188455997,0.1690308509457033,0.29277002188455997,91.42857142857143,97.14285714285714,91.42857142857143,Isolation Forest,97.14285714285714
