item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
IKAN JENAHAK (KEPINGAN),Johor,0.4016096644512494,0.1796053020267749,0.508000508000762,83.87096774193549,96.7741935483871,74.19354838709677,Isolation Forest,96.7741935483871
IKAN JENAHAK (KEPINGAN),Kedah,0.43994134506405985,0.3592106040535498,0.508000508000762,80.64516129032258,87.09677419354838,74.19354838709677,Isolation Forest,87.09677419354838
IKAN JENAHAK (KEPINGAN),Kelantan,0.254000254000381,0.254000254000381,0.1796053020267749,93.54838709677419,93.54838709677419,96.7741935483871,Random Forest,96.7741935483871
IKAN JENAHAK (KEPINGAN),Melaka,0.3110855084191276,0.3110855084191276,0.254000254000381,90.32258064516128,90.32258064516128,93.54838709677419,Random Forest,93.54838709677419
IKAN JENAHAK (KEPINGAN),Negeri Sembilan,0.3110855084191276,0.4016096644512494,0.4016096644512494,90.32258064516128,83.87096774193549,83.87096774193549,GMM,90.32258064516128
IKAN JENAHAK (KEPINGAN),Pahang,0.4016096644512494,0.0,0.254000254000381,83.87096774193549,100.0,93.54838709677419,Isolation Forest,100.0
IKAN JENAHAK (KEPINGAN),Perak,0.1796053020267749,0.1796053020267749,0.5956833971812706,96.7741935483871,96.7741935483871,64.51612903225806,GMM,96.7741935483871
IKAN JENAHAK (KEPINGAN),Perlis,0.1796053020267749,0.3592106040535498,0.3110855084191276,96.7741935483871,87.09677419354838,90.32258064516128,GMM,96.7741935483871
IKAN JENAHAK (KEPINGAN),Pulau Pinang,0.43994134506405985,0.0,0.47519096331149147,80.64516129032258,100.0,77.41935483870968,Isolation Forest,100.0
IKAN JENAHAK (KEPINGAN),Sabah,0.1796053020267749,0.3110855084191276,0.254000254000381,96.7741935483871,90.32258064516128,93.54838709677419,GMM,96.7741935483871
IKAN JENAHAK (KEPINGAN),Sarawak,0.0,0.0,0.3110855084191276,100.0,100.0,90.32258064516128,GMM,100.0
IKAN JENAHAK (KEPINGAN),Selangor,0.1796053020267749,0.1796053020267749,0.5956833971812706,96.7741935483871,96.7741935483871,64.51612903225806,GMM,96.7741935483871
IKAN JENAHAK (KEPINGAN),Terengganu,0.4016096644512494,0.1796053020267749,0.3110855084191276,83.87096774193549,96.7741935483871,90.32258064516128,Isolation Forest,96.7741935483871
IKAN JENAHAK (KEPINGAN),W.P. Kuala Lumpur,0.3110855084191276,0.3110855084191276,0.6956083436402524,90.32258064516128,90.32258064516128,51.61290322580645,GMM,90.32258064516128
IKAN JENAHAK (KEPINGAN),W.P. Putrajaya,0.1796053020267749,0.3592106040535498,0.3592106040535498,96.7741935483871,87.09677419354838,87.09677419354838,GMM,96.7741935483871
