item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Johor,0.3892494720807615,0.3892494720807615,0.6276459144608478,84.84848484848484,84.84848484848484,60.60606060606061,GMM,84.84848484848484
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Kedah,0.0,0.24618298195866548,0.5222329678670935,100.0,93.93939393939394,72.72727272727273,GMM,100.0
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Kelantan,0.49236596391733095,0.24618298195866548,0.49236596391733095,75.75757575757575,93.93939393939394,75.75757575757575,Isolation Forest,93.93939393939394
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Melaka,0.4605661864718383,0.3892494720807615,0.5773502691896257,78.78787878787878,84.84848484848484,66.66666666666666,Isolation Forest,84.84848484848484
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Negeri Sembilan,0.3481553119113957,0.24618298195866548,0.5504818825631803,87.87878787878788,93.93939393939394,69.6969696969697,Isolation Forest,93.93939393939394
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Pahang,0.5222329678670935,0.3481553119113957,0.6030226891555273,72.72727272727273,87.87878787878788,63.63636363636363,Isolation Forest,87.87878787878788
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Perak,0.3892494720807615,0.3892494720807615,0.5504818825631803,84.84848484848484,84.84848484848484,69.6969696969697,GMM,84.84848484848484
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Perlis,0.17407765595569785,0.17407765595569785,0.30151134457776363,96.96969696969697,96.96969696969697,90.9090909090909,GMM,96.96969696969697
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Pulau Pinang,0.4605661864718383,0.3892494720807615,0.6276459144608478,78.78787878787878,84.84848484848484,60.60606060606061,Isolation Forest,84.84848484848484
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Sabah,0.17407765595569785,0.3892494720807615,0.5222329678670935,96.96969696969697,84.84848484848484,72.72727272727273,GMM,96.96969696969697
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Sarawak,0.30151134457776363,0.30151134457776363,0.30151134457776363,90.9090909090909,90.9090909090909,90.9090909090909,GMM,90.9090909090909
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Selangor,0.4605661864718383,0.30151134457776363,0.6030226891555273,78.78787878787878,90.9090909090909,63.63636363636363,Isolation Forest,90.9090909090909
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Terengganu,0.3892494720807615,0.4605661864718383,0.5504818825631803,84.84848484848484,78.78787878787878,69.6969696969697,GMM,84.84848484848484
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),W.P. Kuala Lumpur,0.30151134457776363,0.30151134457776363,0.5222329678670935,90.9090909090909,90.9090909090909,72.72727272727273,GMM,90.9090909090909
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),W.P. Labuan,0.1889822365046136,0.1889822365046136,0.5,96.42857142857143,96.42857142857143,75.0,GMM,96.42857142857143
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),W.P. Putrajaya,0.5222329678670935,0.30151134457776363,0.6513389472789296,72.72727272727273,90.9090909090909,57.57575757575758,Isolation Forest,90.9090909090909
