item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
IKAN KEMBUNG KECIL OR PELALING,Johor,0.23904572186687872,0.23904572186687872,0.3779644730092272,94.28571428571428,94.28571428571428,85.71428571428571,GMM,94.28571428571428
IKAN KEMBUNG KECIL OR PELALING,Kedah,0.3779644730092272,0.3380617018914066,0.4472135954999579,85.71428571428571,88.57142857142857,80.0,Isolation Forest,88.57142857142857
IKAN KEMBUNG KECIL OR PELALING,Kelantan,0.4140393356054125,0.4140393356054125,0.4140393356054125,82.85714285714286,82.85714285714286,82.85714285714286,GMM,82.85714285714286
IKAN KEMBUNG KECIL OR PELALING,Melaka,0.23904572186687872,0.1690308509457033,0.4140393356054125,94.28571428571428,97.14285714285714,82.85714285714286,Isolation Forest,97.14285714285714
IKAN KEMBUNG KECIL OR PELALING,Negeri Sembilan,0.1690308509457033,0.29277002188455997,0.3380617018914066,97.14285714285714,91.42857142857143,88.57142857142857,GMM,97.14285714285714
IKAN KEMBUNG KECIL OR PELALING,Pahang,0.3380617018914066,0.29277002188455997,0.4472135954999579,88.57142857142857,91.42857142857143,80.0,Isolation Forest,91.42857142857143
IKAN KEMBUNG KECIL OR PELALING,Perak,0.29277002188455997,0.29277002188455997,0.4140393356054125,91.42857142857143,91.42857142857143,82.85714285714286,GMM,91.42857142857143
IKAN KEMBUNG KECIL OR PELALING,Perlis,0.29277002188455997,0.1690308509457033,0.3380617018914066,91.42857142857143,97.14285714285714,88.57142857142857,Isolation Forest,97.14285714285714
IKAN KEMBUNG KECIL OR PELALING,Pulau Pinang,0.1690308509457033,0.1690308509457033,0.4472135954999579,97.14285714285714,97.14285714285714,80.0,GMM,97.14285714285714
IKAN KEMBUNG KECIL OR PELALING,Sabah,0.1690308509457033,0.1690308509457033,0.1690308509457033,97.14285714285714,97.14285714285714,97.14285714285714,GMM,97.14285714285714
IKAN KEMBUNG KECIL OR PELALING,Sarawak,0.1690308509457033,0.1690308509457033,0.560611910581388,97.14285714285714,97.14285714285714,68.57142857142857,GMM,97.14285714285714
IKAN KEMBUNG KECIL OR PELALING,Selangor,0.3380617018914066,0.29277002188455997,0.47809144373375745,88.57142857142857,91.42857142857143,77.14285714285715,Isolation Forest,91.42857142857143
IKAN KEMBUNG KECIL OR PELALING,Terengganu,0.3779644730092272,0.3779644730092272,0.4472135954999579,85.71428571428571,85.71428571428571,80.0,GMM,85.71428571428571
IKAN KEMBUNG KECIL OR PELALING,W.P. Kuala Lumpur,0.23904572186687872,0.23904572186687872,0.4140393356054125,94.28571428571428,94.28571428571428,82.85714285714286,GMM,94.28571428571428
IKAN KEMBUNG KECIL OR PELALING,W.P. Labuan,0.0,0.32163376045133846,0.3713906763541037,100.0,89.65517241379311,86.20689655172413,GMM,100.0
IKAN KEMBUNG KECIL OR PELALING,W.P. Putrajaya,0.29277002188455997,0.29277002188455997,0.4140393356054125,91.42857142857143,91.42857142857143,82.85714285714286,GMM,91.42857142857143
