item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Johor,0.0,0.0,0.49236596391733095,100.0,100.0,75.75757575757575,GMM,100.0
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Kedah,0.0,0.0,0.3892494720807615,100.0,100.0,84.84848484848484,GMM,100.0
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Kelantan,0.0,0.24618298195866548,0.49236596391733095,100.0,93.93939393939394,75.75757575757575,GMM,100.0
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Melaka,0.4264014327112209,0.0,0.4264014327112209,81.81818181818183,100.0,81.81818181818183,Isolation Forest,100.0
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Negeri Sembilan,0.17407765595569785,0.3892494720807615,0.24618298195866548,96.96969696969697,84.84848484848484,93.93939393939394,GMM,96.96969696969697
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Pahang,0.0,0.0,0.49236596391733095,100.0,100.0,75.75757575757575,GMM,100.0
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Perak,0.3892494720807615,0.30151134457776363,0.3892494720807615,84.84848484848484,90.9090909090909,84.84848484848484,Isolation Forest,90.9090909090909
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Perlis,0.17407765595569785,0.30151134457776363,0.4605661864718383,96.96969696969697,90.9090909090909,78.78787878787878,GMM,96.96969696969697
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Pulau Pinang,0.24618298195866548,0.24618298195866548,0.49236596391733095,93.93939393939394,93.93939393939394,75.75757575757575,GMM,93.93939393939394
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Sabah,0.0,0.24618298195866548,0.4264014327112209,100.0,93.93939393939394,81.81818181818183,GMM,100.0
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Sarawak,0.3481553119113957,0.3481553119113957,0.3481553119113957,87.87878787878788,87.87878787878788,87.87878787878788,GMM,87.87878787878788
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Selangor,0.24618298195866548,0.3481553119113957,0.5504818825631803,93.93939393939394,87.87878787878788,69.6969696969697,GMM,93.93939393939394
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Terengganu,0.4264014327112209,0.24618298195866548,0.30151134457776363,81.81818181818183,93.93939393939394,90.9090909090909,Isolation Forest,93.93939393939394
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),W.P. Kuala Lumpur,0.24618298195866548,0.24618298195866548,0.30151134457776363,93.93939393939394,93.93939393939394,90.9090909090909,GMM,93.93939393939394
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),W.P. Labuan,0.3922322702763681,0.3922322702763681,0.4803844614152614,84.61538461538461,84.61538461538461,76.92307692307693,GMM,84.61538461538461
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),W.P. Putrajaya,0.0,0.0,0.24618298195866548,100.0,100.0,93.93939393939394,GMM,100.0
