item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
IKAN PARI (KEPINGAN),Johor,0.0,0.0,0.29277002188455997,100.0,100.0,91.42857142857143,GMM,100.0
IKAN PARI (KEPINGAN),Kedah,0.0,0.23904572186687872,0.4140393356054125,100.0,94.28571428571428,82.85714285714286,GMM,100.0
IKAN PARI (KEPINGAN),Kelantan,0.3380617018914066,0.29277002188455997,0.47809144373375745,88.57142857142857,91.42857142857143,77.14285714285715,Isolation Forest,91.42857142857143
IKAN PARI (KEPINGAN),Melaka,0.1690308509457033,0.1690308509457033,0.4472135954999579,97.14285714285714,97.14285714285714,80.0,GMM,97.14285714285714
IKAN PARI (KEPINGAN),Negeri Sembilan,0.1690308509457033,0.3380617018914066,0.4140393356054125,97.14285714285714,88.57142857142857,82.85714285714286,GMM,97.14285714285714
IKAN PARI (KEPINGAN),Pahang,0.1690308509457033,0.4472135954999579,0.5855400437691199,97.14285714285714,80.0,65.71428571428571,GMM,97.14285714285714
IKAN PARI (KEPINGAN),Perak,0.0,0.29277002188455997,0.3779644730092272,100.0,91.42857142857143,85.71428571428571,GMM,100.0
IKAN PARI (KEPINGAN),Perlis,0.1690308509457033,0.3779644730092272,0.47809144373375745,97.14285714285714,85.71428571428571,77.14285714285715,GMM,97.14285714285714
IKAN PARI (KEPINGAN),Pulau Pinang,0.23904572186687872,0.0,0.29277002188455997,94.28571428571428,100.0,91.42857142857143,Isolation Forest,100.0
IKAN PARI (KEPINGAN),Sabah,0.1690308509457033,0.1690308509457033,0.4472135954999579,97.14285714285714,97.14285714285714,80.0,GMM,97.14285714285714
IKAN PARI (KEPINGAN),Sarawak,0.1690308509457033,0.1690308509457033,0.5345224838248488,97.14285714285714,97.14285714285714,71.42857142857143,GMM,97.14285714285714
IKAN PARI (KEPINGAN),Selangor,0.3380617018914066,0.23904572186687872,0.50709255283711,88.57142857142857,94.28571428571428,74.28571428571429,Isolation Forest,94.28571428571428
IKAN PARI (KEPINGAN),Terengganu,0.29277002188455997,0.29277002188455997,0.23904572186687872,91.42857142857143,91.42857142857143,94.28571428571428,Random Forest,94.28571428571428
IKAN PARI (KEPINGAN),W.P. Kuala Lumpur,0.23904572186687872,0.3380617018914066,0.609449400220044,94.28571428571428,88.57142857142857,62.857142857142854,GMM,94.28571428571428
IKAN PARI (KEPINGAN),W.P. Labuan,0.50709255283711,0.3779644730092272,0.560611910581388,74.28571428571429,85.71428571428571,68.57142857142857,Isolation Forest,85.71428571428571
IKAN PARI (KEPINGAN),W.P. Putrajaya,0.4140393356054125,0.23904572186687872,0.560611910581388,82.85714285714286,94.28571428571428,68.57142857142857,Isolation Forest,94.28571428571428
