item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),Johor,0.4472135954999579,0.3779644730092272,0.5855400437691199,80.0,85.71428571428571,65.71428571428571,Isolation Forest,85.71428571428571
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),Kedah,0.50709255283711,0.4472135954999579,0.5855400437691199,74.28571428571429,80.0,65.71428571428571,Isolation Forest,80.0
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),Kelantan,0.4140393356054125,0.3380617018914066,0.5345224838248488,82.85714285714286,88.57142857142857,71.42857142857143,Isolation Forest,88.57142857142857
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),Melaka,0.4472135954999579,0.3779644730092272,0.6546536707079771,80.0,85.71428571428571,57.14285714285714,Isolation Forest,85.71428571428571
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),Negeri Sembilan,0.4472135954999579,0.1690308509457033,0.47809144373375745,80.0,97.14285714285714,77.14285714285715,Isolation Forest,97.14285714285714
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),Pahang,0.4472135954999579,0.1690308509457033,0.5345224838248488,80.0,97.14285714285714,71.42857142857143,Isolation Forest,97.14285714285714
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),Perak,0.5345224838248488,0.47809144373375745,0.6969320524371696,71.42857142857143,77.14285714285715,51.42857142857142,Isolation Forest,77.14285714285715
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),Perlis,0.4140393356054125,0.23904572186687872,0.50709255283711,82.85714285714286,94.28571428571428,74.28571428571429,Isolation Forest,94.28571428571428
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),Pulau Pinang,0.23904572186687872,0.23904572186687872,0.47809144373375745,94.28571428571428,94.28571428571428,77.14285714285715,GMM,94.28571428571428
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),Sabah,0.1690308509457033,0.29277002188455997,0.3380617018914066,97.14285714285714,91.42857142857143,88.57142857142857,GMM,97.14285714285714
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),Sarawak,0.4472135954999579,0.1690308509457033,0.47809144373375745,80.0,97.14285714285714,77.14285714285715,Isolation Forest,97.14285714285714
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),Selangor,0.3779644730092272,0.29277002188455997,0.5855400437691199,85.71428571428571,91.42857142857143,65.71428571428571,Isolation Forest,91.42857142857143
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),Terengganu,0.4140393356054125,0.3380617018914066,0.5345224838248488,82.85714285714286,88.57142857142857,71.42857142857143,Isolation Forest,88.57142857142857
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),W.P. Kuala Lumpur,0.560611910581388,0.3779644730092272,0.560611910581388,68.57142857142857,85.71428571428571,68.57142857142857,Isolation Forest,85.71428571428571
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),W.P. Labuan,0.1690308509457033,0.3380617018914066,0.3779644730092272,97.14285714285714,88.57142857142857,85.71428571428571,GMM,97.14285714285714
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),W.P. Putrajaya,0.23904572186687872,0.23904572186687872,0.23904572186687872,94.28571428571428,94.28571428571428,94.28571428571428,GMM,94.28571428571428
