item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Johor,0.0,0.4264014327112209,0.5773502691896257,100.0,81.81818181818183,66.66666666666666,GMM,100.0
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Kedah,0.3892494720807615,0.3892494720807615,0.3892494720807615,84.84848484848484,84.84848484848484,84.84848484848484,GMM,84.84848484848484
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Kelantan,0.17407765595569785,0.17407765595569785,0.3892494720807615,96.96969696969697,96.96969696969697,84.84848484848484,GMM,96.96969696969697
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Melaka,0.17407765595569785,0.17407765595569785,0.674199862463242,96.96969696969697,96.96969696969697,54.54545454545454,GMM,96.96969696969697
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Negeri Sembilan,0.17407765595569785,0.30151134457776363,0.6513389472789296,96.96969696969697,90.9090909090909,57.57575757575758,GMM,96.96969696969697
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Pahang,0.4264014327112209,0.17407765595569785,0.6276459144608478,81.81818181818183,96.96969696969697,60.60606060606061,Isolation Forest,96.96969696969697
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Perak,0.5222329678670935,0.3892494720807615,0.6276459144608478,72.72727272727273,84.84848484848484,60.60606060606061,Isolation Forest,84.84848484848484
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Perlis,0.24618298195866548,0.24618298195866548,0.3892494720807615,93.93939393939394,93.93939393939394,84.84848484848484,GMM,93.93939393939394
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Pulau Pinang,0.5504818825631803,0.3892494720807615,0.6513389472789296,69.6969696969697,84.84848484848484,57.57575757575758,Isolation Forest,84.84848484848484
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Sabah,0.24618298195866548,0.24618298195866548,0.24618298195866548,93.93939393939394,93.93939393939394,93.93939393939394,GMM,93.93939393939394
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Sarawak,0.5222329678670935,0.30151134457776363,0.6030226891555273,72.72727272727273,90.9090909090909,63.63636363636363,Isolation Forest,90.9090909090909
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Selangor,0.4264014327112209,0.24618298195866548,0.5773502691896257,81.81818181818183,93.93939393939394,66.66666666666666,Isolation Forest,93.93939393939394
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Terengganu,0.49236596391733095,0.24618298195866548,0.5773502691896257,75.75757575757575,93.93939393939394,66.66666666666666,Isolation Forest,93.93939393939394
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),W.P. Kuala Lumpur,0.5222329678670935,0.30151134457776363,0.6513389472789296,72.72727272727273,90.9090909090909,57.57575757575758,Isolation Forest,90.9090909090909
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),W.P. Putrajaya,0.3892494720807615,0.3892494720807615,0.4264014327112209,84.84848484848484,84.84848484848484,81.81818181818183,GMM,84.84848484848484
