item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
JAMBU BATU BERBIJI,Johor,0.0,0.30151134457776363,0.30151134457776363,100.0,90.9090909090909,90.9090909090909,GMM,100.0
JAMBU BATU BERBIJI,Kedah,0.17407765595569785,0.17407765595569785,0.4264014327112209,96.96969696969697,96.96969696969697,81.81818181818183,GMM,96.96969696969697
JAMBU BATU BERBIJI,Kelantan,0.0,0.3481553119113957,0.4605661864718383,100.0,87.87878787878788,78.78787878787878,GMM,100.0
JAMBU BATU BERBIJI,Melaka,0.0,0.0,0.3481553119113957,100.0,100.0,87.87878787878788,GMM,100.0
JAMBU BATU BERBIJI,Negeri Sembilan,0.17407765595569785,0.17407765595569785,0.4264014327112209,96.96969696969697,96.96969696969697,81.81818181818183,GMM,96.96969696969697
JAMBU BATU BERBIJI,Pahang,0.24618298195866548,0.3481553119113957,0.3481553119113957,93.93939393939394,87.87878787878788,87.87878787878788,GMM,93.93939393939394
JAMBU BATU BERBIJI,Perak,0.17407765595569785,0.3481553119113957,0.3481553119113957,96.96969696969697,87.87878787878788,87.87878787878788,GMM,96.96969696969697
JAMBU BATU BERBIJI,Perlis,0.3481553119113957,0.24618298195866548,0.4605661864718383,87.87878787878788,93.93939393939394,78.78787878787878,Isolation Forest,93.93939393939394
JAMBU BATU BERBIJI,Pulau Pinang,0.30151134457776363,0.3892494720807615,0.4264014327112209,90.9090909090909,84.84848484848484,81.81818181818183,GMM,90.9090909090909
JAMBU BATU BERBIJI,Sabah,0.24618298195866548,0.49236596391733095,0.6030226891555273,93.93939393939394,75.75757575757575,63.63636363636363,GMM,93.93939393939394
JAMBU BATU BERBIJI,Sarawak,0.17407765595569785,0.3892494720807615,0.30151134457776363,96.96969696969697,84.84848484848484,90.9090909090909,GMM,96.96969696969697
JAMBU BATU BERBIJI,Selangor,0.17407765595569785,0.3481553119113957,0.3481553119113957,96.96969696969697,87.87878787878788,87.87878787878788,GMM,96.96969696969697
JAMBU BATU BERBIJI,Terengganu,0.17407765595569785,0.17407765595569785,0.3892494720807615,96.96969696969697,96.96969696969697,84.84848484848484,GMM,96.96969696969697
JAMBU BATU BERBIJI,W.P. Kuala Lumpur,0.24618298195866548,0.30151134457776363,0.3481553119113957,93.93939393939394,90.9090909090909,87.87878787878788,GMM,93.93939393939394
JAMBU BATU BERBIJI,W.P. Labuan,0.24618298195866548,0.24618298195866548,0.24618298195866548,93.93939393939394,93.93939393939394,93.93939393939394,GMM,93.93939393939394
JAMBU BATU BERBIJI,W.P. Putrajaya,0.17407765595569785,0.17407765595569785,0.3481553119113957,96.96969696969697,96.96969696969697,87.87878787878788,GMM,96.96969696969697
