item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
KACANG DAL (AUSTRALIA),Johor,0.4472135954999579,0.1690308509457033,0.5345224838248488,80.0,97.14285714285714,71.42857142857143,Isolation Forest,97.14285714285714
KACANG DAL (AUSTRALIA),Kedah,0.47809144373375745,0.3380617018914066,0.5855400437691199,77.14285714285715,88.57142857142857,65.71428571428571,Isolation Forest,88.57142857142857
KACANG DAL (AUSTRALIA),Kelantan,0.47809144373375745,0.23904572186687872,0.47809144373375745,77.14285714285715,94.28571428571428,77.14285714285715,Isolation Forest,94.28571428571428
KACANG DAL (AUSTRALIA),Melaka,0.29277002188455997,0.1690308509457033,0.3779644730092272,91.42857142857143,97.14285714285714,85.71428571428571,Isolation Forest,97.14285714285714
KACANG DAL (AUSTRALIA),Negeri Sembilan,0.3380617018914066,0.3380617018914066,0.50709255283711,88.57142857142857,88.57142857142857,74.28571428571429,GMM,88.57142857142857
KACANG DAL (AUSTRALIA),Pahang,0.4140393356054125,0.0,0.5345224838248488,82.85714285714286,100.0,71.42857142857143,Isolation Forest,100.0
KACANG DAL (AUSTRALIA),Perak,0.4140393356054125,0.23904572186687872,0.4140393356054125,82.85714285714286,94.28571428571428,82.85714285714286,Isolation Forest,94.28571428571428
KACANG DAL (AUSTRALIA),Perlis,0.23904572186687872,0.4140393356054125,0.5345224838248488,94.28571428571428,82.85714285714286,71.42857142857143,GMM,94.28571428571428
KACANG DAL (AUSTRALIA),Pulau Pinang,0.23904572186687872,0.0,0.4472135954999579,94.28571428571428,100.0,80.0,Isolation Forest,100.0
KACANG DAL (AUSTRALIA),Sabah,0.0,0.3779644730092272,0.4140393356054125,100.0,85.71428571428571,82.85714285714286,GMM,100.0
KACANG DAL (AUSTRALIA),Sarawak,0.4472135954999579,0.3779644730092272,0.4140393356054125,80.0,85.71428571428571,82.85714285714286,Isolation Forest,85.71428571428571
KACANG DAL (AUSTRALIA),Selangor,0.4140393356054125,0.4140393356054125,0.4140393356054125,82.85714285714286,82.85714285714286,82.85714285714286,GMM,82.85714285714286
KACANG DAL (AUSTRALIA),Terengganu,0.3779644730092272,0.29277002188455997,0.50709255283711,85.71428571428571,91.42857142857143,74.28571428571429,Isolation Forest,91.42857142857143
KACANG DAL (AUSTRALIA),W.P. Kuala Lumpur,0.3380617018914066,0.3380617018914066,0.3779644730092272,88.57142857142857,88.57142857142857,85.71428571428571,GMM,88.57142857142857
KACANG DAL (AUSTRALIA),W.P. Labuan,0.50709255283711,0.3380617018914066,0.6324555320336759,74.28571428571429,88.57142857142857,60.0,Isolation Forest,88.57142857142857
KACANG DAL (AUSTRALIA),W.P. Putrajaya,0.1690308509457033,0.29277002188455997,0.29277002188455997,97.14285714285714,91.42857142857143,91.42857142857143,GMM,97.14285714285714
