item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
KACANG SOYA (IMPORT),Johor,0.3892494720807615,0.30151134457776363,0.5222329678670935,84.84848484848484,90.9090909090909,72.72727272727273,Isolation Forest,90.9090909090909
KACANG SOYA (IMPORT),Kedah,0.17407765595569785,0.17407765595569785,0.4264014327112209,96.96969696969697,96.96969696969697,81.81818181818183,GMM,96.96969696969697
KACANG SOYA (IMPORT),Kelantan,0.30151134457776363,0.17407765595569785,0.5504818825631803,90.9090909090909,96.96969696969697,69.6969696969697,Isolation Forest,96.96969696969697
KACANG SOYA (IMPORT),Melaka,0.3892494720807615,0.3481553119113957,0.5222329678670935,84.84848484848484,87.87878787878788,72.72727272727273,Isolation Forest,87.87878787878788
KACANG SOYA (IMPORT),Negeri Sembilan,0.3481553119113957,0.24618298195866548,0.5504818825631803,87.87878787878788,93.93939393939394,69.6969696969697,Isolation Forest,93.93939393939394
KACANG SOYA (IMPORT),Pahang,0.3481553119113957,0.24618298195866548,0.4264014327112209,87.87878787878788,93.93939393939394,81.81818181818183,Isolation Forest,93.93939393939394
KACANG SOYA (IMPORT),Perak,0.17407765595569785,0.17407765595569785,0.49236596391733095,96.96969696969697,96.96969696969697,75.75757575757575,GMM,96.96969696969697
KACANG SOYA (IMPORT),Perlis,0.4605661864718383,0.17407765595569785,0.49236596391733095,78.78787878787878,96.96969696969697,75.75757575757575,Isolation Forest,96.96969696969697
KACANG SOYA (IMPORT),Pulau Pinang,0.17407765595569785,0.17407765595569785,0.5222329678670935,96.96969696969697,96.96969696969697,72.72727272727273,GMM,96.96969696969697
KACANG SOYA (IMPORT),Sabah,0.3892494720807615,0.30151134457776363,0.5504818825631803,84.84848484848484,90.9090909090909,69.6969696969697,Isolation Forest,90.9090909090909
KACANG SOYA (IMPORT),Sarawak,0.30151134457776363,0.17407765595569785,0.3481553119113957,90.9090909090909,96.96969696969697,87.87878787878788,Isolation Forest,96.96969696969697
KACANG SOYA (IMPORT),Selangor,0.4605661864718383,0.24618298195866548,0.5504818825631803,78.78787878787878,93.93939393939394,69.6969696969697,Isolation Forest,93.93939393939394
KACANG SOYA (IMPORT),Terengganu,0.3481553119113957,0.0,0.4605661864718383,87.87878787878788,100.0,78.78787878787878,Isolation Forest,100.0
KACANG SOYA (IMPORT),W.P. Kuala Lumpur,0.49236596391733095,0.0,0.49236596391733095,75.75757575757575,100.0,75.75757575757575,Isolation Forest,100.0
KACANG SOYA (IMPORT),W.P. Labuan,0.3892494720807615,0.3892494720807615,0.30151134457776363,84.84848484848484,84.84848484848484,90.9090909090909,Random Forest,90.9090909090909
KACANG SOYA (IMPORT),W.P. Putrajaya,0.3892494720807615,0.3892494720807615,0.3481553119113957,84.84848484848484,84.84848484848484,87.87878787878788,Random Forest,87.87878787878788
