item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
KACANG TANAH (IMPORT),Johor,0.23904572186687872,0.0,0.5345224838248488,94.28571428571428,100.0,71.42857142857143,Isolation Forest,100.0
KACANG TANAH (IMPORT),Kedah,0.47809144373375745,0.4140393356054125,0.560611910581388,77.14285714285715,82.85714285714286,68.57142857142857,Isolation Forest,82.85714285714286
KACANG TANAH (IMPORT),Kelantan,0.3380617018914066,0.23904572186687872,0.23904572186687872,88.57142857142857,94.28571428571428,94.28571428571428,Isolation Forest,94.28571428571428
KACANG TANAH (IMPORT),Melaka,0.4140393356054125,0.47809144373375745,0.4140393356054125,82.85714285714286,77.14285714285715,82.85714285714286,GMM,82.85714285714286
KACANG TANAH (IMPORT),Negeri Sembilan,0.29277002188455997,0.29277002188455997,0.5855400437691199,91.42857142857143,91.42857142857143,65.71428571428571,GMM,91.42857142857143
KACANG TANAH (IMPORT),Pahang,0.29277002188455997,0.29277002188455997,0.50709255283711,91.42857142857143,91.42857142857143,74.28571428571429,GMM,91.42857142857143
KACANG TANAH (IMPORT),Perak,0.3380617018914066,0.1690308509457033,0.5345224838248488,88.57142857142857,97.14285714285714,71.42857142857143,Isolation Forest,97.14285714285714
KACANG TANAH (IMPORT),Perlis,0.23904572186687872,0.1690308509457033,0.560611910581388,94.28571428571428,97.14285714285714,68.57142857142857,Isolation Forest,97.14285714285714
KACANG TANAH (IMPORT),Pulau Pinang,0.4472135954999579,0.3779644730092272,0.609449400220044,80.0,85.71428571428571,62.857142857142854,Isolation Forest,85.71428571428571
KACANG TANAH (IMPORT),Sabah,0.3779644730092272,0.3779644730092272,0.560611910581388,85.71428571428571,85.71428571428571,68.57142857142857,GMM,85.71428571428571
KACANG TANAH (IMPORT),Sarawak,0.1690308509457033,0.1690308509457033,0.23904572186687872,97.14285714285714,97.14285714285714,94.28571428571428,GMM,97.14285714285714
KACANG TANAH (IMPORT),Selangor,0.23904572186687872,0.23904572186687872,0.5345224838248488,94.28571428571428,94.28571428571428,71.42857142857143,GMM,94.28571428571428
KACANG TANAH (IMPORT),Terengganu,0.5345224838248488,0.4472135954999579,0.4472135954999579,71.42857142857143,80.0,80.0,Isolation Forest,80.0
KACANG TANAH (IMPORT),W.P. Kuala Lumpur,0.29277002188455997,0.29277002188455997,0.3779644730092272,91.42857142857143,91.42857142857143,85.71428571428571,GMM,91.42857142857143
KACANG TANAH (IMPORT),W.P. Labuan,0.4140393356054125,0.23904572186687872,0.560611910581388,82.85714285714286,94.28571428571428,68.57142857142857,Isolation Forest,94.28571428571428
KACANG TANAH (IMPORT),W.P. Putrajaya,0.23904572186687872,0.29277002188455997,0.47809144373375745,94.28571428571428,91.42857142857143,77.14285714285715,GMM,94.28571428571428
