item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
KUBIS BULAT IMPORT (CHINA),Johor,0.29277002188455997,0.1690308509457033,0.4472135954999579,91.42857142857143,97.14285714285714,80.0,Isolation Forest,97.14285714285714
KUBIS BULAT IMPORT (CHINA),Kedah,0.4140393356054125,0.0,0.47809144373375745,82.85714285714286,100.0,77.14285714285715,Isolation Forest,100.0
KUBIS BULAT IMPORT (CHINA),Kelantan,0.23904572186687872,0.23904572186687872,0.4472135954999579,94.28571428571428,94.28571428571428,80.0,GMM,94.28571428571428
KUBIS BULAT IMPORT (CHINA),Melaka,0.1690308509457033,0.1690308509457033,0.4140393356054125,97.14285714285714,97.14285714285714,82.85714285714286,GMM,97.14285714285714
KUBIS BULAT IMPORT (CHINA),Negeri Sembilan,0.1690308509457033,0.1690308509457033,0.3779644730092272,97.14285714285714,97.14285714285714,85.71428571428571,GMM,97.14285714285714
KUBIS BULAT IMPORT (CHINA),Pahang,0.29277002188455997,0.1690308509457033,0.4140393356054125,91.42857142857143,97.14285714285714,82.85714285714286,Isolation Forest,97.14285714285714
KUBIS BULAT IMPORT (CHINA),Perak,0.1690308509457033,0.1690308509457033,0.4472135954999579,97.14285714285714,97.14285714285714,80.0,GMM,97.14285714285714
KUBIS BULAT IMPORT (CHINA),Perlis,0.29277002188455997,0.29277002188455997,0.4472135954999579,91.42857142857143,91.42857142857143,80.0,GMM,91.42857142857143
KUBIS BULAT IMPORT (CHINA),Pulau Pinang,0.1690308509457033,0.1690308509457033,0.4140393356054125,97.14285714285714,97.14285714285714,82.85714285714286,GMM,97.14285714285714
KUBIS BULAT IMPORT (CHINA),Sabah,0.1690308509457033,0.1690308509457033,0.3380617018914066,97.14285714285714,97.14285714285714,88.57142857142857,GMM,97.14285714285714
KUBIS BULAT IMPORT (CHINA),Sarawak,0.47809144373375745,0.0,0.50709255283711,77.14285714285715,100.0,74.28571428571429,Isolation Forest,100.0
KUBIS BULAT IMPORT (CHINA),Selangor,0.1690308509457033,0.1690308509457033,0.4472135954999579,97.14285714285714,97.14285714285714,80.0,GMM,97.14285714285714
KUBIS BULAT IMPORT (CHINA),Terengganu,0.3779644730092272,0.1690308509457033,0.4472135954999579,85.71428571428571,97.14285714285714,80.0,Isolation Forest,97.14285714285714
KUBIS BULAT IMPORT (CHINA),W.P. Kuala Lumpur,0.1690308509457033,0.0,0.3779644730092272,97.14285714285714,100.0,85.71428571428571,Isolation Forest,100.0
KUBIS BULAT IMPORT (CHINA),W.P. Labuan,0.4330127018922193,0.4330127018922193,0.5863019699779287,81.25,81.25,65.625,GMM,81.25
KUBIS BULAT IMPORT (CHINA),W.P. Putrajaya,0.3380617018914066,0.3380617018914066,0.47809144373375745,88.57142857142857,88.57142857142857,77.14285714285715,GMM,88.57142857142857
