item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
KUBIS BUNGA (CAULIFLOWER),Johor,0.254000254000381,0.254000254000381,0.508000508000762,93.54838709677419,93.54838709677419,74.19354838709677,GMM,93.54838709677419
KUBIS BUNGA (CAULIFLOWER),Kedah,0.0,0.254000254000381,0.43994134506405985,100.0,93.54838709677419,80.64516129032258,GMM,100.0
KUBIS BUNGA (CAULIFLOWER),Kelantan,0.1796053020267749,0.3110855084191276,0.47519096331149147,96.7741935483871,90.32258064516128,77.41935483870968,GMM,96.7741935483871
KUBIS BUNGA (CAULIFLOWER),Melaka,0.1796053020267749,0.1796053020267749,0.508000508000762,96.7741935483871,96.7741935483871,74.19354838709677,GMM,96.7741935483871
KUBIS BUNGA (CAULIFLOWER),Negeri Sembilan,0.254000254000381,0.1796053020267749,0.43994134506405985,93.54838709677419,96.7741935483871,80.64516129032258,Isolation Forest,96.7741935483871
KUBIS BUNGA (CAULIFLOWER),Pahang,0.1796053020267749,0.1796053020267749,0.47519096331149147,96.7741935483871,96.7741935483871,77.41935483870968,GMM,96.7741935483871
KUBIS BUNGA (CAULIFLOWER),Perak,0.1796053020267749,0.1796053020267749,0.47519096331149147,96.7741935483871,96.7741935483871,77.41935483870968,GMM,96.7741935483871
KUBIS BUNGA (CAULIFLOWER),Perlis,0.4016096644512494,0.3110855084191276,0.47519096331149147,83.87096774193549,90.32258064516128,77.41935483870968,Isolation Forest,90.32258064516128
KUBIS BUNGA (CAULIFLOWER),Pulau Pinang,0.43994134506405985,0.254000254000381,0.508000508000762,80.64516129032258,93.54838709677419,74.19354838709677,Isolation Forest,93.54838709677419
KUBIS BUNGA (CAULIFLOWER),Sabah,0.254000254000381,0.254000254000381,0.3592106040535498,93.54838709677419,93.54838709677419,87.09677419354838,GMM,93.54838709677419
KUBIS BUNGA (CAULIFLOWER),Sarawak,0.47519096331149147,0.254000254000381,0.5679618342470648,77.41935483870968,93.54838709677419,67.74193548387096,Isolation Forest,93.54838709677419
KUBIS BUNGA (CAULIFLOWER),Selangor,0.0,0.1796053020267749,0.47519096331149147,100.0,96.7741935483871,77.41935483870968,GMM,100.0
KUBIS BUNGA (CAULIFLOWER),Terengganu,0.3110855084191276,0.4016096644512494,0.47519096331149147,90.32258064516128,83.87096774193549,77.41935483870968,GMM,90.32258064516128
KUBIS BUNGA (CAULIFLOWER),W.P. Kuala Lumpur,0.3592106040535498,0.1796053020267749,0.508000508000762,87.09677419354838,96.7741935483871,74.19354838709677,Isolation Forest,96.7741935483871
KUBIS BUNGA (CAULIFLOWER),W.P. Labuan,0.254000254000381,0.3110855084191276,0.43994134506405985,93.54838709677419,90.32258064516128,80.64516129032258,GMM,93.54838709677419
KUBIS BUNGA (CAULIFLOWER),W.P. Putrajaya,0.254000254000381,0.1796053020267749,0.43994134506405985,93.54838709677419,96.7741935483871,80.64516129032258,Isolation Forest,96.7741935483871
