item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
LADA BENGGALA HIJAU (CAPSICUM),Johor,0.0,0.23904572186687872,0.3779644730092272,100.0,94.28571428571428,85.71428571428571,GMM,100.0
LADA BENGGALA HIJAU (CAPSICUM),Kedah,0.0,0.23904572186687872,0.3779644730092272,100.0,94.28571428571428,85.71428571428571,GMM,100.0
LADA BENGGALA HIJAU (CAPSICUM),Kelantan,0.0,0.23904572186687872,0.29277002188455997,100.0,94.28571428571428,91.42857142857143,GMM,100.0
LADA BENGGALA HIJAU (CAPSICUM),Melaka,0.1690308509457033,0.1690308509457033,0.4140393356054125,97.14285714285714,97.14285714285714,82.85714285714286,GMM,97.14285714285714
LADA BENGGALA HIJAU (CAPSICUM),Negeri Sembilan,0.1690308509457033,0.1690308509457033,0.29277002188455997,97.14285714285714,97.14285714285714,91.42857142857143,GMM,97.14285714285714
LADA BENGGALA HIJAU (CAPSICUM),Pahang,0.1690308509457033,0.1690308509457033,0.3779644730092272,97.14285714285714,97.14285714285714,85.71428571428571,GMM,97.14285714285714
LADA BENGGALA HIJAU (CAPSICUM),Perak,0.1690308509457033,0.1690308509457033,0.23904572186687872,97.14285714285714,97.14285714285714,94.28571428571428,GMM,97.14285714285714
LADA BENGGALA HIJAU (CAPSICUM),Perlis,0.0,0.0,0.23904572186687872,100.0,100.0,94.28571428571428,GMM,100.0
LADA BENGGALA HIJAU (CAPSICUM),Pulau Pinang,0.1690308509457033,0.1690308509457033,0.29277002188455997,97.14285714285714,97.14285714285714,91.42857142857143,GMM,97.14285714285714
LADA BENGGALA HIJAU (CAPSICUM),Sabah,0.1690308509457033,0.29277002188455997,0.4472135954999579,97.14285714285714,91.42857142857143,80.0,GMM,97.14285714285714
LADA BENGGALA HIJAU (CAPSICUM),Sarawak,0.4140393356054125,0.23904572186687872,0.23904572186687872,82.85714285714286,94.28571428571428,94.28571428571428,Isolation Forest,94.28571428571428
LADA BENGGALA HIJAU (CAPSICUM),Selangor,0.0,0.3380617018914066,0.29277002188455997,100.0,88.57142857142857,91.42857142857143,GMM,100.0
LADA BENGGALA HIJAU (CAPSICUM),Terengganu,0.0,0.0,0.29277002188455997,100.0,100.0,91.42857142857143,GMM,100.0
LADA BENGGALA HIJAU (CAPSICUM),W.P. Kuala Lumpur,0.1690308509457033,0.1690308509457033,0.4472135954999579,97.14285714285714,97.14285714285714,80.0,GMM,97.14285714285714
LADA BENGGALA HIJAU (CAPSICUM),W.P. Labuan,0.29277002188455997,0.29277002188455997,0.4472135954999579,91.42857142857143,91.42857142857143,80.0,GMM,91.42857142857143
LADA BENGGALA HIJAU (CAPSICUM),W.P. Putrajaya,0.1690308509457033,0.1690308509457033,0.3380617018914066,97.14285714285714,97.14285714285714,88.57142857142857,GMM,97.14285714285714
