item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
NENAS BIASA,Johor,0.4605661864718383,0.30151134457776363,0.6030226891555273,78.78787878787878,90.9090909090909,63.63636363636363,Isolation Forest,90.9090909090909
NENAS BIASA,Kedah,0.5222329678670935,0.5222329678670935,0.6513389472789296,72.72727272727273,72.72727272727273,57.57575757575758,GMM,72.72727272727273
NENAS BIASA,Kelantan,0.49236596391733095,0.49236596391733095,0.5504818825631803,75.75757575757575,75.75757575757575,69.6969696969697,GMM,75.75757575757575
NENAS BIASA,Melaka,0.4605661864718383,0.4605661864718383,0.5222329678670935,78.78787878787878,78.78787878787878,72.72727272727273,GMM,78.78787878787878
NENAS BIASA,Negeri Sembilan,0.4605661864718383,0.4605661864718383,0.6030226891555273,78.78787878787878,78.78787878787878,63.63636363636363,GMM,78.78787878787878
NENAS BIASA,Pahang,0.4605661864718383,0.4605661864718383,0.5222329678670935,78.78787878787878,78.78787878787878,72.72727272727273,GMM,78.78787878787878
NENAS BIASA,Perak,0.4605661864718383,0.3892494720807615,0.5504818825631803,78.78787878787878,84.84848484848484,69.6969696969697,Isolation Forest,84.84848484848484
NENAS BIASA,Perlis,0.5222329678670935,0.5222329678670935,0.5773502691896257,72.72727272727273,72.72727272727273,66.66666666666666,GMM,72.72727272727273
NENAS BIASA,Pulau Pinang,0.5222329678670935,0.3892494720807615,0.6513389472789296,72.72727272727273,84.84848484848484,57.57575757575758,Isolation Forest,84.84848484848484
NENAS BIASA,Sabah,0.30151134457776363,0.3892494720807615,0.3892494720807615,90.9090909090909,84.84848484848484,84.84848484848484,GMM,90.9090909090909
NENAS BIASA,Sarawak,0.30151134457776363,0.30151134457776363,0.5504818825631803,90.9090909090909,90.9090909090909,69.6969696969697,GMM,90.9090909090909
NENAS BIASA,Selangor,0.4605661864718383,0.30151134457776363,0.4605661864718383,78.78787878787878,90.9090909090909,78.78787878787878,Isolation Forest,90.9090909090909
NENAS BIASA,Terengganu,0.4605661864718383,0.4605661864718383,0.6030226891555273,78.78787878787878,78.78787878787878,63.63636363636363,GMM,78.78787878787878
NENAS BIASA,W.P. Kuala Lumpur,0.5222329678670935,0.30151134457776363,0.5773502691896257,72.72727272727273,90.9090909090909,66.66666666666666,Isolation Forest,90.9090909090909
NENAS BIASA,W.P. Putrajaya,0.4605661864718383,0.3892494720807615,0.4605661864718383,78.78787878787878,84.84848484848484,78.78787878787878,Isolation Forest,84.84848484848484
