item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
SAWI HIJAU,Johor,0.0,0.3380617018914066,0.3779644730092272,100.0,88.57142857142857,85.71428571428571,GMM,100.0
SAWI HIJAU,Kedah,0.23904572186687872,0.1690308509457033,0.23904572186687872,94.28571428571428,97.14285714285714,94.28571428571428,Isolation Forest,97.14285714285714
SAWI HIJAU,Kelantan,0.0,0.23904572186687872,0.23904572186687872,100.0,94.28571428571428,94.28571428571428,GMM,100.0
SAWI HIJAU,Melaka,0.0,0.23904572186687872,0.29277002188455997,100.0,94.28571428571428,91.42857142857143,GMM,100.0
SAWI HIJAU,Negeri Sembilan,0.3380617018914066,0.0,0.3779644730092272,88.57142857142857,100.0,85.71428571428571,Isolation Forest,100.0
SAWI HIJAU,Pahang,0.1690308509457033,0.1690308509457033,0.23904572186687872,97.14285714285714,97.14285714285714,94.28571428571428,GMM,97.14285714285714
SAWI HIJAU,Perak,0.1690308509457033,0.1690308509457033,0.29277002188455997,97.14285714285714,97.14285714285714,91.42857142857143,GMM,97.14285714285714
SAWI HIJAU,Perlis,0.1690308509457033,0.29277002188455997,0.3380617018914066,97.14285714285714,91.42857142857143,88.57142857142857,GMM,97.14285714285714
SAWI HIJAU,Pulau Pinang,0.3779644730092272,0.29277002188455997,0.29277002188455997,85.71428571428571,91.42857142857143,91.42857142857143,Isolation Forest,91.42857142857143
SAWI HIJAU,Sabah,0.29277002188455997,0.23904572186687872,0.47809144373375745,91.42857142857143,94.28571428571428,77.14285714285715,Isolation Forest,94.28571428571428
SAWI HIJAU,Sarawak,0.1690308509457033,0.1690308509457033,0.29277002188455997,97.14285714285714,97.14285714285714,91.42857142857143,GMM,97.14285714285714
SAWI HIJAU,Selangor,0.1690308509457033,0.1690308509457033,0.3380617018914066,97.14285714285714,97.14285714285714,88.57142857142857,GMM,97.14285714285714
SAWI HIJAU,Terengganu,0.1690308509457033,0.1690308509457033,0.23904572186687872,97.14285714285714,97.14285714285714,94.28571428571428,GMM,97.14285714285714
SAWI HIJAU,W.P. Kuala Lumpur,0.1690308509457033,0.0,0.3779644730092272,97.14285714285714,100.0,85.71428571428571,Isolation Forest,100.0
SAWI HIJAU,W.P. Labuan,0.0,0.23904572186687872,0.47809144373375745,100.0,94.28571428571428,77.14285714285715,GMM,100.0
SAWI HIJAU,W.P. Putrajaya,0.1690308509457033,0.23904572186687872,0.4140393356054125,97.14285714285714,94.28571428571428,82.85714285714286,GMM,97.14285714285714
