item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
TELUR MASIN (4 biji),Johor,0.3380617018914066,0.23904572186687872,0.3779644730092272,88.57142857142857,94.28571428571428,85.71428571428571,Isolation Forest,94.28571428571428
TELUR MASIN (4 biji),Kedah,0.3779644730092272,0.29277002188455997,0.23904572186687872,85.71428571428571,91.42857142857143,94.28571428571428,Random Forest,94.28571428571428
TELUR MASIN (4 biji),Kelantan,0.1690308509457033,0.1690308509457033,0.29277002188455997,97.14285714285714,97.14285714285714,91.42857142857143,GMM,97.14285714285714
TELUR MASIN (4 biji),Melaka,0.4140393356054125,0.23904572186687872,0.560611910581388,82.85714285714286,94.28571428571428,68.57142857142857,Isolation Forest,94.28571428571428
TELUR MASIN (4 biji),Negeri Sembilan,0.3380617018914066,0.3380617018914066,0.4140393356054125,88.57142857142857,88.57142857142857,82.85714285714286,GMM,88.57142857142857
TELUR MASIN (4 biji),Pahang,0.3380617018914066,0.23904572186687872,0.50709255283711,88.57142857142857,94.28571428571428,74.28571428571429,Isolation Forest,94.28571428571428
TELUR MASIN (4 biji),Perak,0.3779644730092272,0.29277002188455997,0.3779644730092272,85.71428571428571,91.42857142857143,85.71428571428571,Isolation Forest,91.42857142857143
TELUR MASIN (4 biji),Perlis,0.29277002188455997,0.1690308509457033,0.560611910581388,91.42857142857143,97.14285714285714,68.57142857142857,Isolation Forest,97.14285714285714
TELUR MASIN (4 biji),Pulau Pinang,0.4140393356054125,0.4140393356054125,0.3380617018914066,82.85714285714286,82.85714285714286,88.57142857142857,Random Forest,88.57142857142857
TELUR MASIN (4 biji),Sabah,0.50709255283711,0.3779644730092272,0.609449400220044,74.28571428571429,85.71428571428571,62.857142857142854,Isolation Forest,85.71428571428571
TELUR MASIN (4 biji),Sarawak,0.3380617018914066,0.3380617018914066,0.5345224838248488,88.57142857142857,88.57142857142857,71.42857142857143,GMM,88.57142857142857
TELUR MASIN (4 biji),Selangor,0.4140393356054125,0.23904572186687872,0.4472135954999579,82.85714285714286,94.28571428571428,80.0,Isolation Forest,94.28571428571428
TELUR MASIN (4 biji),Terengganu,0.3380617018914066,0.3380617018914066,0.29277002188455997,88.57142857142857,88.57142857142857,91.42857142857143,Random Forest,91.42857142857143
TELUR MASIN (4 biji),W.P. Kuala Lumpur,0.3380617018914066,0.0,0.3779644730092272,88.57142857142857,100.0,85.71428571428571,Isolation Forest,100.0
TELUR MASIN (4 biji),W.P. Labuan,0.0,0.23904572186687872,0.560611910581388,100.0,94.28571428571428,68.57142857142857,GMM,100.0
TELUR MASIN (4 biji),W.P. Putrajaya,0.3380617018914066,0.23904572186687872,0.3380617018914066,88.57142857142857,94.28571428571428,88.57142857142857,Isolation Forest,94.28571428571428
