item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
TEMBIKAI SUSU,Johor,0.0,0.23904572186687872,0.47809144373375745,100.0,94.28571428571428,77.14285714285715,GMM,100.0
TEMBIKAI SUSU,Kedah,0.1690308509457033,0.1690308509457033,0.47809144373375745,97.14285714285714,97.14285714285714,77.14285714285715,GMM,97.14285714285714
TEMBIKAI SUSU,Kelantan,0.0,0.3380617018914066,0.4472135954999579,100.0,88.57142857142857,80.0,GMM,100.0
TEMBIKAI SUSU,Melaka,0.0,0.0,0.4472135954999579,100.0,100.0,80.0,GMM,100.0
TEMBIKAI SUSU,Negeri Sembilan,0.1690308509457033,0.1690308509457033,0.4140393356054125,97.14285714285714,97.14285714285714,82.85714285714286,GMM,97.14285714285714
TEMBIKAI SUSU,Pahang,0.0,0.0,0.3779644730092272,100.0,100.0,85.71428571428571,GMM,100.0
TEMBIKAI SUSU,Perak,0.0,0.0,0.4140393356054125,100.0,100.0,82.85714285714286,GMM,100.0
TEMBIKAI SUSU,Perlis,0.23904572186687872,0.23904572186687872,0.4140393356054125,94.28571428571428,94.28571428571428,82.85714285714286,GMM,94.28571428571428
TEMBIKAI SUSU,Pulau Pinang,0.3779644730092272,0.3779644730092272,0.50709255283711,85.71428571428571,85.71428571428571,74.28571428571429,GMM,85.71428571428571
TEMBIKAI SUSU,Sabah,0.50709255283711,0.3380617018914066,0.560611910581388,74.28571428571429,88.57142857142857,68.57142857142857,Isolation Forest,88.57142857142857
TEMBIKAI SUSU,Sarawak,0.47809144373375745,0.4140393356054125,0.4472135954999579,77.14285714285715,82.85714285714286,80.0,Isolation Forest,82.85714285714286
TEMBIKAI SUSU,Selangor,0.23904572186687872,0.23904572186687872,0.50709255283711,94.28571428571428,94.28571428571428,74.28571428571429,GMM,94.28571428571428
TEMBIKAI SUSU,Terengganu,0.3380617018914066,0.0,0.5855400437691199,88.57142857142857,100.0,65.71428571428571,Isolation Forest,100.0
TEMBIKAI SUSU,W.P. Kuala Lumpur,0.0,0.0,0.4472135954999579,100.0,100.0,80.0,GMM,100.0
TEMBIKAI SUSU,W.P. Labuan,0.1690308509457033,0.1690308509457033,0.3380617018914066,97.14285714285714,97.14285714285714,88.57142857142857,GMM,97.14285714285714
TEMBIKAI SUSU,W.P. Putrajaya,0.29277002188455997,0.29277002188455997,0.3779644730092272,91.42857142857143,91.42857142857143,85.71428571428571,GMM,91.42857142857143
