item_name,state,gmm_rmse,isolation_forest_rmse,random_forest_rmse,gmm_accuracy,isolation_forest_accuracy,random_forest_accuracy,best_model,best_model_accuracy
WHOLE LEG AYAM,Johor,0.0,0.0,0.29277002188455997,100.0,100.0,91.42857142857143,GMM,100.0
WHOLE LEG AYAM,Kedah,0.1690308509457033,0.23904572186687872,0.4140393356054125,97.14285714285714,94.28571428571428,82.85714285714286,GMM,97.14285714285714
WHOLE LEG AYAM,Kelantan,0.0,0.0,0.1690308509457033,100.0,100.0,97.14285714285714,GMM,100.0
WHOLE LEG AYAM,Melaka,0.3380617018914066,0.3380617018914066,0.47809144373375745,88.57142857142857,88.57142857142857,77.14285714285715,GMM,88.57142857142857
WHOLE LEG AYAM,Negeri Sembilan,0.23904572186687872,0.23904572186687872,0.4140393356054125,94.28571428571428,94.28571428571428,82.85714285714286,GMM,94.28571428571428
WHOLE LEG AYAM,Pahang,0.0,0.0,0.3779644730092272,100.0,100.0,85.71428571428571,GMM,100.0
WHOLE LEG AYAM,Perak,0.29277002188455997,0.1690308509457033,0.4472135954999579,91.42857142857143,97.14285714285714,80.0,Isolation Forest,97.14285714285714
WHOLE LEG AYAM,Perlis,0.50709255283711,0.1690308509457033,0.5855400437691199,74.28571428571429,97.14285714285714,65.71428571428571,Isolation Forest,97.14285714285714
WHOLE LEG AYAM,Pulau Pinang,0.4140393356054125,0.3380617018914066,0.3779644730092272,82.85714285714286,88.57142857142857,85.71428571428571,Isolation Forest,88.57142857142857
WHOLE LEG AYAM,Sabah,0.1690308509457033,0.29277002188455997,0.4140393356054125,97.14285714285714,91.42857142857143,82.85714285714286,GMM,97.14285714285714
WHOLE LEG AYAM,Sarawak,0.47809144373375745,0.3380617018914066,0.3380617018914066,77.14285714285715,88.57142857142857,88.57142857142857,Isolation Forest,88.57142857142857
WHOLE LEG AYAM,Selangor,0.4140393356054125,0.23904572186687872,0.47809144373375745,82.85714285714286,94.28571428571428,77.14285714285715,Isolation Forest,94.28571428571428
WHOLE LEG AYAM,Terengganu,0.1690308509457033,0.29277002188455997,0.3380617018914066,97.14285714285714,91.42857142857143,88.57142857142857,GMM,97.14285714285714
WHOLE LEG AYAM,W.P. Kuala Lumpur,0.23904572186687872,0.0,0.50709255283711,94.28571428571428,100.0,74.28571428571429,Isolation Forest,100.0
WHOLE LEG AYAM,W.P. Labuan,0.3779644730092272,0.29277002188455997,0.29277002188455997,85.71428571428571,91.42857142857143,91.42857142857143,Isolation Forest,91.42857142857143
WHOLE LEG AYAM,W.P. Putrajaya,0.1690308509457033,0.1690308509457033,0.3779644730092272,97.14285714285714,97.14285714285714,85.71428571428571,GMM,97.14285714285714
